UnitID,Institution Name,4-year Graduation rate - bachelor's degree within 100% of normal time (GR200_16),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_16),4-year Graduation rate - bachelor's degree within 100% of normal time (GR200_15),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_15),4-year Graduation rate - bachelor's degree within 100% of normal time (GR200_14_RV),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_14_RV),4-year Graduation rate - bachelor's degree within 100% of normal time (GR200_13_RV),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_13_RV),Graduation rate - bachelor's degree within 100% of normal time (4-years) (GR200_12_RV),Graduation rate - bachelor's degree within 150% of normal time (6-years) (GR200_12_RV),
104151,Arizona State University-Tempe,43,63,38,59,34,58,33,58,32,59,
133951,Florida International University,24,54,20,52,19,49,16,43,19,46,
232186,George Mason University,44,67,43,67,42,66,41,64,39,63,
139940,Georgia State University,22,53,21,53,20,51,18,47,17,48,
209807,Portland State University,17,42,18,42,16,42,14,38,14,36,
229027,The University of Texas at San Antonio,11,31,10,30,9,28,8,27,8,27,
110653,University of California-Irvine,68,86,68,86,66,86,65,85,60,83,
110671,University of California-Riverside,44,69,41,66,42,66,43,67,46,68,
110714,University of California-Santa Cruz,55,77,50,73,52,74,50,73,50,74,
209551,University of Oregon,45,69,44,67,44,67,41,66,44,68,
