UnitID,Institution Name,Reported full-time equivalent (FTE) undergraduate enrollment  2012-13 (EFIA2013_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2011-12 (EFIA2012_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2010-11 (EFIA2011_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2009-10 (EFIA2010_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2008-09 (EFIA2009_RV),
104151,Arizona State University-Tempe,38197,55016,52762,50471,48554,
133951,Florida International University,34130,33550,30879,28273,27543,
232186,George Mason University,19480,19594,18677,17901,16909,
139940,Georgia State University,21951,21800,21479,20953,19366,
209807,Portland State University,17428,17721,17505,17311,15961,
229027,The University of Texas at San Antonio,22635,22898,22284,21590,20939,
110653,University of California-Irvine,23595,23472,23317,23459,24263,
110671,University of California-Riverside,18145,18182,18015,16964,15914,
110714,University of California-Santa Cruz,16216,16220,15993,15725,15374,
163268,University of Maryland-Baltimore County,9738,9819,9792,9540,9252,
209551,University of Oregon,20191,20118,19165,18205,17336,
